content_id,client_id,baseline_rank,baseline_refresh_score,visibility_score,freshness_risk_score,position_opportunity_score,depth_gap_score,reason_codes,suggested_action_baseline,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,scroll_rate,content_age_days,days_since_last_update,word_count,trend_direction
content_f7ca14f323ed,client_19581e27de,43,0.923605016723356,0.9828333333333333,0.8432,0.9387061224489797,0.8567030555555556,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,50220,163,165,3.2,0.32,0.61,2.06,257,104,0.0,stable
content_979a999506bd,client_19581e27de,44,0.9235274599206349,0.9886333333333334,0.8432,0.928104761904762,0.8617587222222223,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,67982,263,265,4.0,0.39,4.91,8.23,329,104,0.0,down
content_6935194d6d56,client_19581e27de,45,0.9234200302154194,0.9959666666666667,0.8432,0.9146632653061225,0.8681509444444445,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,117210,258,250,5.0,0.22,6.0,8.03,329,104,0.0,down
content_b6d2061fcd11,client_19581e27de,46,0.9233576098072562,0.9943666666666666,0.8432,0.9172525170068027,0.8667562777777778,page_one_decay_risk|low_engagement_visible_page,monitor,0,99523,802,679,4.8,0.81,1.33,2.57,313,104,0.0,stable
content_5bca3620478c,client_19581e27de,47,0.9229401045918367,0.9945,0.8432,0.9153459183673469,0.8668725,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,102161,245,427,4.9,0.24,2.11,5.07,236,104,0.0,stable
content_cd1b913fa942,client_19581e27de,48,0.9229254464285714,0.9975,0.8432,0.9099642857142858,0.8694875000000001,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,140846,326,320,5.3,0.23,1.56,4.48,258,104,0.0,stable
content_3a426ee4383c,client_19581e27de,49,0.9228268967687074,0.9839,0.8432,0.9337010204081633,0.8576328333333334,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,52303,501,324,3.5,0.96,1.85,7.14,362,104,0.0,down
content_153db95b47da,client_19581e27de,50,0.9227874210884355,0.9868,0.8432,0.9283975510204081,0.8601606666666667,page_one_decay_risk|low_engagement_visible_page,monitor,0,62118,393,396,3.9,0.63,1.77,4.98,313,104,0.0,stable
content_5215e9edceac,client_19581e27de,51,0.9226423887188209,0.9843666666666666,0.8432,0.9321349659863946,0.858039611111111,page_one_decay_risk|low_engagement_visible_page,monitor,0,53554,338,283,3.6,0.63,0.35,3.16,313,104,0.0,stable
content_c1f2cf3d4d3d,client_19581e27de,52,0.9221628210884354,0.9844,0.8432,0.9301575510204082,0.8580686666666667,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,53566,103,112,3.7,0.19,7.14,10.0,329,104,0.0,up
content_a7427266c305,client_19581e27de,53,0.9218718176303855,0.9989666666666667,0.8432,0.9031474149659864,0.8707659444444444,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,201111,219,255,5.7,0.11,1.96,3.79,257,104,0.0,stable
content_60c07b1d6125,client_19581e27de,54,0.9218705002834466,0.9891666666666666,0.8432,0.9205306122448979,0.8622236111111111,page_one_decay_risk|low_engagement_visible_page,monitor,0,70931,404,377,4.4,0.57,2.39,3.56,313,104,0.0,stable
content_1aa219431528,client_4e07408562,55,0.921756054818594,0.9980333333333333,0.8432,0.9043404081632653,0.8699523888888889,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,151541,356,317,5.6,0.23,6.62,11.85,445,104,0.0,stable
content_c2745ea9f931,client_19581e27de,56,0.921735297845805,0.9867333333333334,0.8432,0.9243073469387756,0.8601025555555556,page_one_decay_risk|low_engagement_visible_page,monitor,0,61949,332,280,4.1,0.54,2.14,3.34,257,104,0.0,stable
content_63ee95de0cef,client_19581e27de,57,0.9216026091269841,0.9791666666666666,0.8432,0.937202380952381,0.8535069444444444,page_one_decay_risk|low_engagement_visible_page,monitor,0,43323,336,330,3.1,0.78,5.45,9.14,329,104,0.0,stable
content_d17681677e69,client_19581e27de,58,0.921384443877551,0.999,0.8432,0.9011387755102042,0.870795,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,201584,487,463,5.8,0.24,0.65,2.21,313,104,0.0,stable
content_dd2abed6d9f3,client_19581e27de,59,0.9211119168367347,0.9873,0.8432,0.9208083673469387,0.8605965,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,63568,275,299,4.3,0.43,0.33,4.79,313,104,0.0,down
content_88d1a23c7ab5,client_19581e27de,60,0.9211068996315191,0.9932833333333333,0.8432,0.9101718707482993,0.8658119722222222,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,90393,151,150,5.1,0.17,2.67,9.04,313,104,0.0,stable
content_69fad7e6c50c,client_7f2253d7e2,61,0.9206333788435376,0.9602,0.9911,0.8876951020408164,0.34599206666666665,declining_with_demand|low_engagement_visible_page,refresh,1,28000,369,345,4.7,1.32,0.58,44.16,106,106,2902.0,down
content_45bb4107ad33,client_19581e27de,62,0.9204403615646258,0.9938,0.8432,0.9065889795918368,0.8662623333333334,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,94643,341,363,5.3,0.36,0.83,2.71,236,104,0.0,stable
content_6ac3ab740bbf,client_f369cb89fc,63,0.9202029157242064,0.9486166666666667,0.9911,0.878922380952381,0.4739130763888889,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,22462,31,33,4.6,0.14,0.0,8.57,106,106,2606.0,down
